iter	Logloss
0	0.6926772118
1	0.6920795918
2	0.6916548729
3	0.6911941051
4	0.6904650211
5	0.6899599552
6	0.6892101765
7	0.6888553619
8	0.6882497311
9	0.6876059055
10	0.6868627071
11	0.6861391068
12	0.6855937004
13	0.6851954937
14	0.6846362114
15	0.684128046
16	0.6835397243
17	0.6830558777
18	0.6824146271
19	0.6819726944
20	0.6812057018
21	0.680611515
22	0.6802217484
23	0.6798290253
24	0.6792546272
25	0.6787704945
26	0.6780227184
27	0.6771705627
28	0.6762516499
29	0.6756830215
30	0.6749111652
31	0.6744807243
32	0.674030304
33	0.6735403061
34	0.6731593132
35	0.6723985195
36	0.6719305992
37	0.6715325832
38	0.6710424423
39	0.6701483727
40	0.6695642471
41	0.6689638615
42	0.6686152935
43	0.6678126812
44	0.6673038006
45	0.6670219898
46	0.6662535191
47	0.6655373096
48	0.6651225567
49	0.6645893097
50	0.6642905235
51	0.6637916565
52	0.6632452965
53	0.6629097462
54	0.6623368263
55	0.661839962
56	0.6614088058
57	0.6608169079
58	0.6602432251
59	0.6597633839
60	0.6590399742
61	0.6585146904
62	0.6579576969
63	0.6574241161
64	0.6570986271
65	0.6567061424
66	0.6561787605
67	0.6556378365
68	0.6553622723
69	0.6546892166
70	0.6540517807
71	0.6537234783
72	0.6528913021
73	0.6526014805
74	0.6518969536
75	0.6515359879
76	0.6509086132
77	0.6506248951
78	0.6500491142
79	0.6495812416
80	0.649168396
81	0.648722744
82	0.648233223
83	0.6479780197
84	0.6475200653
85	0.6471041203
86	0.6466063499
87	0.6458734035
88	0.6455377579
89	0.6450114727
90	0.6440985203
91	0.6435510635
92	0.6433701515
93	0.6429735661
94	0.6425483704
95	0.6420704842
96	0.6414849758
97	0.6407660484
98	0.640302372
99	0.6400467873
100	0.6397591114
101	0.6390785694
102	0.6385890007
103	0.6380011559
104	0.6375160694
105	0.6369694233
106	0.6365501404
107	0.6362895966
108	0.6360126495
109	0.6355082035
110	0.6349517822
111	0.6345236778
112	0.634218359
113	0.6339089394
114	0.6334568024
115	0.633044529
116	0.6327949047
117	0.6323113441
118	0.6321258545
119	0.6317071438
120	0.631064415
121	0.6307407856
122	0.6301038742
123	0.6298185349
124	0.6293701172
125	0.6290380478
126	0.6286146641
127	0.6279538631
128	0.6275115967
129	0.6267551899
130	0.6262800217
131	0.6257710457
132	0.6252639294
133	0.6250311852
134	0.624333334
135	0.6236824036
136	0.6231728554
137	0.6226339817
138	0.6218942642
139	0.621595192
140	0.6211770535
141	0.6207640648
142	0.620284605
143	0.6200295925
144	0.6196302891
145	0.6193017483
146	0.6188759804
147	0.6181917191
148	0.6176753044
149	0.6173726082
150	0.6170007229
151	0.6167034149
152	0.6163960457
153	0.6160052776
154	0.615708065
155	0.6152509689
156	0.6148704529
157	0.6144001007
158	0.6140357018
159	0.6134579659
160	0.612843895
161	0.6124625683
162	0.6119066238
163	0.6114238739
164	0.6111933708
165	0.610684824
166	0.6103281498
167	0.60993433
168	0.6094856262
169	0.6090034485
170	0.608622694
171	0.6080103874
172	0.6074820518
173	0.6068727493
174	0.606537056
175	0.6059835911
176	0.605343008
177	0.6049402237
178	0.6043457985
179	0.6040431976
180	0.6038911343
181	0.6032277584
182	0.6026741028
183	0.602165699
184	0.6018124104
185	0.6013122559
186	0.6009362698
187	0.6004508495
188	0.6002740383
189	0.5997468948
190	0.5990911961
191	0.5987326622
192	0.5984796524
193	0.5977592468
194	0.597552681
195	0.596955204
196	0.5962730408
197	0.5960296631
198	0.5957859516
199	0.5953215122
200	0.5950450897
201	0.5945524693
202	0.5939618111
203	0.5934900761
204	0.593307066
205	0.5927825451
206	0.5923340797
207	0.5920649529
208	0.5916171551
209	0.5912988663
210	0.5909768105
211	0.5902432442
212	0.5898694038
213	0.5897163391
214	0.5893507481
215	0.5889977455
216	0.5884701729
217	0.5877648354
218	0.5873867035
219	0.5871548653
220	0.5867945671
221	0.5863508701
222	0.585897541
223	0.5856515408
224	0.5854348183
225	0.5848595619
226	0.584660244
227	0.5844554901
228	0.5840572834
229	0.5835422039
230	0.5830664635
231	0.5827321053
232	0.5824248314
233	0.5822889328
234	0.5820314884
235	0.5815080643
236	0.5812775612
237	0.5810073853
238	0.5807720661
239	0.5802904129
240	0.5798045158
241	0.5795564651
242	0.5791594982
243	0.578801775
244	0.5783408165
245	0.5780138016
246	0.5778526306
247	0.5774353027
248	0.5771971226
249	0.5767385483
250	0.5763269424
251	0.5756920338
252	0.5753780365
253	0.5751477242
254	0.5746169567
255	0.5740622997
256	0.5735433102
257	0.5732625961
258	0.5728689194
259	0.5724974632
260	0.571924305
261	0.5712674141
262	0.5710752487
263	0.5704864502
264	0.5703138828
265	0.5700417042
266	0.5695223808
267	0.5692730904
268	0.5688158035
269	0.5683680534
270	0.5678341389
271	0.5675587654
272	0.5668776989
273	0.5665511608
274	0.5661756992
275	0.5656697273
276	0.5652895927
277	0.564758873
278	0.5645204544
279	0.5640892506
280	0.5637090683
281	0.563439703
282	0.5631913662
283	0.5626660824
284	0.5623830795
285	0.5620248318
286	0.5614178658
287	0.5610359192
288	0.5607194901
289	0.5602044106
290	0.5599387169
291	0.5596214294
292	0.5594003677
293	0.559104538
294	0.5586952209
295	0.55849576
296	0.5580566406
297	0.557572937
298	0.5573820114
299	0.556963253
300	0.5566523075
301	0.556029892
302	0.5554328918
303	0.5549179077
304	0.5546049118
305	0.5543456554
306	0.5541418076
307	0.55368433
308	0.5533480644
309	0.553144455
310	0.5526744843
311	0.5523625374
312	0.5520828247
313	0.5518014431
314	0.5513220787
315	0.5507694721
316	0.5501289368
317	0.549840498
318	0.5495293617
319	0.5493988991
320	0.5489539146
321	0.5486538887
322	0.5482285976
323	0.5474943161
324	0.5471140862
325	0.5466468811
326	0.5461519241
327	0.5459836006
328	0.5456251144
329	0.5453742981
330	0.5447312832
331	0.5445493698
332	0.5442001343
333	0.5438435555
334	0.543484211
335	0.5431154728
336	0.5427539825
337	0.5421723366
338	0.5419789791
339	0.5417770386
340	0.5413727283
341	0.5410833836
342	0.5407485008
343	0.5405682564
344	0.5400744915
345	0.5397432327
346	0.5394891739
347	0.5392679214
348	0.5389374733
349	0.5384963036
350	0.5379542351
351	0.5374334812
352	0.5369526386
353	0.5365832806
354	0.5363658905
355	0.536178112
356	0.5356779099
357	0.5352427483
358	0.5348906517
359	0.5345707893
360	0.5343128681
361	0.5339560986
362	0.5337054729
363	0.5334439278
364	0.5328113556
365	0.5326140404
366	0.5321691513
367	0.5319980621
368	0.5313794136
369	0.5312140465
370	0.5309711456
371	0.5307850838
372	0.5304983139
373	0.5303105354
374	0.5299165726
375	0.5295710087
376	0.5292690277
377	0.5289991379
378	0.5285974503
379	0.5282130718
380	0.5277153969
381	0.5271825314
382	0.5270421028
383	0.5268703938
384	0.526412487
385	0.5261355877
386	0.5257779598
387	0.5254083633
388	0.5249556065
389	0.5247941494
390	0.5245746613
391	0.5243605614
392	0.5240491867
393	0.5238470554
394	0.523539257
395	0.5230156898
396	0.522619009
397	0.522210741
398	0.5218497276
399	0.5213796616
400	0.5211909294
401	0.5209465027
402	0.5207308769
403	0.5201560974
404	0.519637537
405	0.5191316605
406	0.5187777519
407	0.5185992241
408	0.5181916714
409	0.517800045
410	0.5175819397
411	0.517234087
412	0.5169895649
413	0.516629076
414	0.5159291267
415	0.5153339863
416	0.5148999214
417	0.5146595001
418	0.5144751072
419	0.5140563488
420	0.5138036728
421	0.5132451057
422	0.5128869057
