본부명,지사명,노선명,구간,방향,5km,발생건수,위도,경도,Year
광주전남,함평,무안광주선,10~15,광주,10.0,4.0,35.030325,126.4896234,2021
광주전남,함평,무안광주선,30~35,광주,30.0,4.0,35.0984857,126.6874541,2021
광주전남,함평,무안광주선,30~35,무안,30.0,7.0,35.0984857,126.6874541,2021
광주전남,함평,무안광주선,35~40,무안,35.0,3.0,35.1199527,126.7343378,2021
광주전남,함평,서해안선,5~10,목포,5.0,3.0,34.8496291,126.4719396,2021
광주전남,함평,서해안선,30~35,목포,30.0,4.0,35.0649544,126.4796394,2021
광주전남,함평,서해안선,35~40,목포,35.0,3.0,35.1099659,126.481287,2021
광주전남,함평,서해안선,20~25,서울,20.0,4.0,34.9761177,126.4957519,2021
광주전남,함평,서해안선,25~30,서울,25.0,4.0,35.0207604,126.4892992,2021
광주전남,함평,서해안선,35~40,서울,35.0,5.0,35.1099659,126.481287,2021
광주전남,함평,서해안선,55~60,서울,55.0,3.0,35.2732961,126.5436837,2021
대구경북,영주,중앙선,180~185,부산,180.0,5.0,36.4786835,128.6178162,2021
대구경북,영주,중앙선,225~230,춘천,225.0,3.0,36.8098916,128.54378,2021
대구경북,청송,당진영덕선,115~120,영덕,115.0,3.0,36.4335624,128.6084357,2021
부산경남,고성,중부선,15~20,통영,15.0,3.0,34.9752193,128.3813689,2021
부산경남,창원,남해제1지선,15~20,산인,15.0,4.0,35.2610778,128.6091613,2021
강원,홍천,중앙선,315~320,부산,315.0,13.0,37.34098704,127.9125914,2022
강원,홍천,중앙선,315~320,춘천,315.0,7.0,37.34098704,127.9125914,2022
강원,홍천,중앙선,385~390,춘천,385.0,6.0,37.83876894,127.7779955,2022
강원,강릉,동해선,65~70,속초,65.0,4.0,37.80291629,128.8238867,2022
강원,대관령,영동선,230~235,인천,230.0,4.0,37.75493092,128.7965065,2022
강원,원주,영동선,120~125,강릉,120.0,4.0,37.3461271,127.8714305,2022
강원,홍천,중앙선,345~350,부산,345.0,4.0,37.57288403,127.9732079,2022
강원,홍천,중앙선,380~385,부산,380.0,4.0,37.80220681,127.7716686,2022
강원,홍천,중앙선,360~365,부산,360.0,4.0,37.6701836,127.8743817,2022
강원,강릉,동해선,20~25,근덕,20.0,3.0,37.53076573,129.0955466,2022
강원,강릉,동해선,50~55,속초,50.0,3.0,37.69083783,128.8971321,2022
강원,대관령,영동선,160~165,강릉,160.0,3.0,37.49256431,128.2052831,2022
강원,대관령,영동선,165~170,인천,165.0,3.0,37.51607231,128.250337,2022
강원,원주,영동선,140~145,강릉,140.0,3.0,37.44539209,128.0360124,2022
강원,원주,영동선,155~160,인천,155.0,3.0,37.47547139,128.155756,2022
강원,원주,영동선,130~135,인천,130.0,3.0,37.40120957,127.9481384,2022
강원,원주,영동선,100~105,인천,100.0,3.0,37.24914838,127.7146223,2022
강원,홍천,중앙선,370~375,부산,370.0,3.0,37.72454318,127.7967582,2022
강원,홍천,중앙선,340~345,부산,340.0,3.0,37.52998812,127.9787662,2022
강원,홍천,중앙선,370~375,춘천,370.0,3.0,37.72454318,127.7967582,2022
광주전남,함평,무안광주선,30~35,무안,30.0,5.0,35.0984857,126.6874541,2022
광주전남,순천,호남선,15~20,천안,15.0,4.0,35.02851072,127.3225054,2022
광주전남,함평,무안광주선,35~40,무안,35.0,4.0,35.11995266,126.7343378,2022
광주전남,함평,무안광주선,10~15,무안,10.0,4.0,35.03032502,126.4896234,2022
광주전남,함평,무안광주선,20~25,무안,20.0,4.0,35.06678093,126.5877008,2022
광주전남,함평,서해안선,40~45,서울,40.0,4.0,35.15494396,126.4829252,2022
광주전남,남원,광주대구선,60~65,광주,60.0,3.0,35.44407521,127.4358331,2022
광주전남,남원,광주대구선,35~40,광주,35.0,3.0,35.36635794,127.1897231,2022
광주전남,남원,광주대구선,90~95,대구,90.0,3.0,35.54331396,127.6965106,2022
광주전남,남원,광주대구선,50~55,대구,50.0,3.0,35.4147937,127.3358398,2022
광주전남,담양,호남선,50~55,순천,50.0,3.0,35.26162353,127.1393044,2022
광주전남,순천,남해선,20~25,부산,20.0,3.0,34.97673035,127.6690088,2022
광주전남,순천,호남선,20~25,순천,20.0,3.0,35.05398465,127.2799286,2022
광주전남,함평,무안광주선,15~20,무안,15.0,3.0,35.04682455,126.5399563,2022
광주전남,함평,서해안선,30~35,목포,30.0,3.0,35.06495443,126.4796394,2022
대구경북,영주,중앙선,200~205,부산,200.0,3.0,36.60963803,128.5714513,2022
대구경북,영주,중앙선,240~245,춘천,240.0,3.0,36.90126846,128.4387041,2022
대전충남,공주,당진대전선,85~90,대전,85.0,7.0,36.42787173,127.2883162,2022
대전충남,공주,당진대전선,70~75,당진,70.0,6.0,36.49757054,127.1654894,2022
대전충남,공주,당진대전선,80~85,당진,80.0,5.0,36.45888882,127.2501974,2022
대전충남,공주,당진대전선,85~90,당진,85.0,5.0,36.42787173,127.2883162,2022
대전충남,공주,당진대전선,30~35,대전,30.0,5.0,36.64697591,126.825385,2022
대전충남,대전,경부선,290~295,부산,290.0,5.0,36.50678565,127.428891,2022
대전충남,당진,서해안선,280~285,목포,280.0,4.0,36.95813112,126.8551808,2022
대전충남,대전,경부선,275~280,부산,275.0,4.0,36.37954895,127.4275565,2022
대전충남,대전,경부선,300~305,서울,300.0,4.0,36.59470447,127.4231656,2022
대전충남,부여,서천공주선,50~55,서천,50.0,4.0,36.40765114,127.0013392,2022
대전충남,부여,서천공주선,55~60,서천,55.0,4.0,36.44453615,127.0306515,2022
대전충남,영동,대전남부순환선,5~10,서대전,5.0,4.0,36.28565727,127.3700006,2022
대전충남,천안,경부선,305~310,부산,305.0,4.0,36.62535986,127.3836864,2022
대전충남,천안,경부선,330~335,부산,330.0,4.0,36.7602895,127.217288,2022
대전충남,공주,당진대전선,80~85,대전,80.0,3.0,36.45888882,127.2501974,2022
대전충남,당진,당진대전선,5~10,대전,5.0,3.0,36.81626191,126.6534305,2022
대전충남,당진,서해안선,270~275,서울,270.0,3.0,36.91907304,126.7591522,2022
대전충남,당진,서해안선,235~240,서울,235.0,3.0,36.688381,126.5547572,2022
대전충남,대전,경부선,285~290,부산,285.0,3.0,36.4657563,127.4183421,2022
대전충남,대전,경부선,270~275,서울,270.0,3.0,36.34962947,127.4663024,2022
대전충남,대전,호남지선,35~40,논산,35.0,3.0,36.29909996,127.31392,2022
대전충남,대전,호남지선,40~45,논산,40.0,3.0,36.34065836,127.3188678,2022
대전충남,대전,호남지선,35~40,회덕,35.0,3.0,36.29909996,127.31392,2022
대전충남,영동,경부선,260~265,부산,260.0,3.0,36.31774985,127.5564176,2022
대전충남,영동,경부선,220~225,서울,220.0,3.0,36.21621999,127.931716,2022
대전충남,영동,대전남부순환선,0~5,산내,0.0,3.0,36.29407848,127.3160565,2022
대전충남,천안,경부선,340~345,부산,340.0,3.0,36.8254311,127.1681066,2022
대전충남,천안,경부선,345~350,부산,345.0,3.0,36.86733004,127.1866601,2022
부산경남,서울산,경부선,25~30,서울,25.0,3.0,35.43939439,129.073631,2022
부산경남,진주,남해선,60~65,부산,60.0,3.0,35.08554152,128.0420868,2022
부산경남,창원,남해선,115~120,순천,115.0,3.0,35.28170874,128.4996875,2022
수도권,경기광주,중부선,335~340,통영,335.0,4.0,37.31495742,127.3472041,2022
수도권,경기광주,중부선,350~355,하남,350.0,4.0,37.43892698,127.2891253,2022
수도권,동서울,수도권제1순환선,115~120,판교,115.0,4.0,37.37918528,126.9574134,2022
수도권,시흥,수도권제1순환선,95~100,판교,95.0,4.0,37.45570348,126.7974413,2022
수도권,경기광주,중부선,330~335,하남,330.0,3.0,37.28319262,127.3849201,2022
수도권,수원,경부선,405~410,부산,405.0,3.0,37.38131932,127.1032033,2022
수도권,시흥,수도권제1순환선,105~110,일산,105.0,3.0,37.38097843,126.8558042,2022
수도권,시흥,수도권제1순환선,100~105,판교,100.0,3.0,37.41908589,126.828963,2022
수도권,시흥,제2경인선,15~20,안양,15.0,3.0,37.42861052,126.7966235,2022
전북,논산,호남지선,10~15,논산,10.0,5.0,36.15337118,127.1644793,2022
전북,논산,호남지선,30~35,논산,30.0,5.0,36.2669873,127.2921401,2022
전북,논산,호남지선,15~20,논산,15.0,3.0,36.1588182,127.2148303,2022
전북,논산,호남지선,30~35,대전,30.0,3.0,36.2669873,127.2921401,2022
전북,무주,중부선,165~170,통영,165.0,3.0,35.97307729,127.6498785,2022
전북,보령,서해안선,170~175,서울,170.0,3.0,36.14784775,126.6208259,2022
전북,보령,서해안선,165~170,서울,165.0,3.0,36.10898749,126.646671,2022
전북,부안,서해안선,80~85,목포,80.0,3.0,35.46608388,126.6736746,2022
전북,부안,서해안선,75~80,서울,75.0,3.0,35.42328638,126.6566442,2022
전북,전주,호남선,160~165,천안,160.0,3.0,35.79845501,127.023669,2022
전북,진안,순천완주선,115~120,순천,115.0,3.0,35.8616768,127.1867518,2022
전북,진안,익산장수선,15~20,장수,15.0,3.0,35.86611375,127.2197934,2022
충북,진천,중부선,250~255,통영,250.0,9.0,36.62226637,127.4202485,2022
충북,진천,중부선,290~295,통영,290.0,7.0,36.9476101,127.4714058,2022
충북,진천,중부선,275~280,하남,275.0,6.0,36.81738099,127.4910263,2022
충북,제천,중앙선,275~280,춘천,275.0,5.0,37.08378052,128.1698621,2022
충북,진천,중부선,245~250,통영,245.0,5.0,36.57914957,127.4275038,2022
충북,진천,중부선,260~265,통영,260.0,5.0,36.70880232,127.4375391,2022
충북,진천,중부선,280~285,하남,280.0,5.0,36.8593107,127.48117,2022
충북,보은,청주상주선,0~5,청주,0.0,4.0,36.56474484,127.4306527,2022
충북,엄정,평택제천선,110~115,평택,110.0,4.0,37.07592453,127.9932382,2022
충북,제천,중앙선,295~300,부산,295.0,4.0,37.23250754,128.0807089,2022
충북,제천,중앙선,295~300,춘천,295.0,4.0,37.23250754,128.0807089,2022
충북,제천,중앙선,265~270,춘천,265.0,4.0,37.03734287,128.258328,2022
충북,진천,중부선,305~310,통영,305.0,4.0,37.07745194,127.4625306,2022
충북,진천,중부선,270~275,통영,270.0,4.0,36.77827315,127.5066813,2022
충북,진천,중부선,320~325,하남,320.0,4.0,37.20776468,127.4422137,2022
충북,진천,중부선,295~300,하남,295.0,4.0,36.99133404,127.474735,2022
충북,진천,중부선,250~255,하남,250.0,4.0,36.62226637,127.4202485,2022
충북,보은,청주상주선,15~20,청주,15.0,3.0,36.5088942,127.5774168,2022
충북,엄정,평택제천선,40~45,제천,40.0,3.0,36.97198525,127.288285,2022
충북,엄정,평택제천선,55~60,제천,55.0,3.0,36.9473256,127.4426183,2022
충북,엄정,평택제천선,65~70,제천,65.0,3.0,36.95473654,127.5506555,2022
충북,엄정,평택제천선,50~55,제천,50.0,3.0,36.96917182,127.3946104,2022
충북,엄정,평택제천선,55~60,평택,55.0,3.0,36.9473256,127.4426183,2022
충북,제천,중앙선,280~285,춘천,280.0,3.0,37.12122313,128.1495986,2022
충북,제천,중앙선,250~255,춘천,250.0,3.0,36.9277543,128.3338959,2022
충북,진천,중부선,315~320,통영,315.0,3.0,37.16308804,127.4400352,2022
충북,진천,중부선,320~325,통영,320.0,3.0,37.20776468,127.4422137,2022
충북,진천,중부선,255~260,통영,255.0,3.0,36.666547,127.4240858,2022
충북,진천,중부선,265~270,통영,265.0,3.0,36.74561896,127.4691292,2022
충북,진천,중부선,270~275,하남,270.0,3.0,36.77827315,127.5066813,2022
