iter	Passed	Remaining
414	3262	4598
415	3271	4592
416	3277	4581
417	3285	4574
418	3291	4564
419	3301	4558
420	3307	4548
421	3314	4539
422	3324	4534
423	3331	4525
424	3337	4515
425	3343	4505
426	3352	4499
427	3359	4489
428	3367	4482
429	3374	4473
430	3383	4466
431	3389	4456
432	3398	4450
433	3405	4441
434	3413	4434
435	3423	4428
436	3430	4419
437	3437	4410
438	3444	4402
439	3451	4393
440	3458	4384
441	3466	4376
442	3473	4367
443	3481	4359
444	3487	4350
445	3498	4346
446	3505	4337
447	3515	4331
448	3522	4322
449	3530	4314
450	3538	4306
451	3547	4300
452	3553	4290
453	3562	4283
454	3568	4274
455	3576	4266
456	3582	4256
457	3589	4247
458	3597	4239
459	3604	4231
460	3613	4225
461	3620	4216
462	3629	4209
463	3636	4201
464	3645	4194
465	3653	4186
466	3661	4179
467	3668	4170
468	3676	4162
469	3682	4152
470	3691	4146
471	3698	4136
472	3705	4128
473	3713	4120
474	3720	4112
475	3727	4103
476	3733	4094
477	3741	4086
478	3749	4078
479	3758	4072
480	3765	4063
481	3773	4055
482	3780	4046
483	3789	4039
484	3796	4031
485	3805	4024
486	3811	4015
487	3818	4006
488	3825	3997
489	3831	3988
490	3839	3979
491	3846	3971
492	3855	3964
493	3861	3955
494	3869	3947
495	3876	3938
496	3884	3930
497	3892	3923
498	3898	3914
499	3906	3906
500	3913	3897
501	3920	3889
502	3928	3881
503	3937	3874
504	3943	3865
505	3952	3858
506	3962	3852
507	3971	3846
508	3977	3836
509	3986	3830
510	3993	3821
511	4002	3814
512	4009	3806
513	4019	3800
514	4025	3791
515	4034	3784
516	4040	3775
517	4048	3767
518	4059	3761
519	4068	3755
520	4076	3747
521	4085	3741
522	4093	3733
523	4101	3726
524	4108	3717
525	4115	3708
526	4121	3699
527	4128	3691
528	4137	3684
529	4145	3676
530	4152	3667
531	4159	3659
532	4169	3653
533	4177	3645
534	4184	3636
535	4191	3628
536	4198	3620
537	4206	3611
538	4213	3603
539	4219	3594
540	4228	3587
541	4236	3579
542	4245	3572
543	4252	3564
544	4260	3556
545	4270	3550
546	4279	3544
547	4286	3535
548	4294	3528
549	4301	3519
550	4310	3512
551	4317	3504
552	4327	3498
553	4334	3489
554	4343	3482
555	4351	3475
556	4359	3467
557	4366	3458
558	4375	3452
559	4385	3446
560	4393	3438
561	4400	3429
562	4408	3421
563	4415	3413
564	4426	3408
565	4436	3401
566	4446	3395
567	4455	3388
568	4467	3383
569	4478	3378
570	4488	3372
571	4497	3364
572	4505	3357
573	4514	3350
